,Year,Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,rates,MostSoldUSD,Lat,Lng
192,2008,Côte d’Ivoire,12.6,15.5,3.4,XOF,700.0,0.001782,1.2474,7.539988999999999,-5.547079999999999
193,2018,Mali,18.1,12.0,12.0,XOF,800.0,0.001782,1.4256,17.570692,-3.996166
194,2016,Mali,18.0,12.1,12.1,XOF,800.0,0.001782,1.4256,17.570692,-3.996166
195,2014,Mali,18.0,12.1,12.1,XOF,700.0,0.001782,1.2474,17.570692,-3.996166
196,2012,Mali,18.1,2.1,2.1,XOF,700.0,0.001782,1.2474,17.570692,-3.996166
197,2010,Mali,18.1,2.3,2.3,XOF,700.0,0.001782,1.2474,17.570692,-3.996166
198,2008,Mali,18.2,2.6,2.6,XOF,700.0,0.001782,1.2474,17.570692,-3.996166
199,2018,Niger,12.6,14.3,16.3,XOF,500.0,0.001782,0.891,17.607789,8.081666
200,2016,Niger,12.2,14.0,15.9,XOF,500.0,0.001782,0.891,17.607789,8.081666
201,2014,Niger,11.9,13.8,15.7,XOF,500.0,0.001782,0.891,17.607789,8.081666
202,2012,Niger,11.6,13.5,15.4,XOF,400.0,0.001782,0.7128,17.607789,8.081666
203,2010,Niger,11.3,13.2,15.0,XOF,400.0,0.001782,0.7128,17.607789,8.081666
204,2008,Niger,10.9,12.8,14.5,XOF,400.0,0.001782,0.7128,17.607789,8.081666
205,2018,Senegal,12.5,14.5,17.4,XOF,700.0,0.001782,1.2474,14.497401,-14.452362
206,2016,Senegal,13.0,15.1,18.2,XOF,500.0,0.001782,0.891,14.497401,-14.452362
207,2014,Senegal,13.6,15.8,10.0,XOF,500.0,0.001782,0.891,14.497401,-14.452362
208,2012,Senegal,14.1,16.4,10.6,XOF,400.0,0.001782,0.7128,14.497401,-14.452362
209,2010,Senegal,14.8,17.1,11.2,XOF,400.0,0.001782,0.7128,14.497401,-14.452362
210,2008,Senegal,15.8,18.3,12.1,XOF,400.0,0.001782,0.7128,14.497401,-14.452362
